Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Subject_Type,-,0,1,False,True,0.7834341466339867,34.84049118655013,two-sided,0.43866574360867594,,,0.346,0.21485920073078382,max_pupil_dilation_rate
Block * Subject_Type,1,0,1,False,True,0.8743728317445114,36.16531161885428,two-sided,0.3876849468743797,1.0,bonf,0.368,0.23597549802346027,max_pupil_dilation_rate
Block * Subject_Type,2,0,1,False,True,0.44460492317728395,41.861506951888984,two-sided,0.6588955677400403,1.0,bonf,0.291,0.11305439554722929,max_pupil_dilation_rate
Block * Subject_Type,3,0,1,False,True,0.664768103226562,49.3226883261281,two-sided,0.5092952035670522,1.0,bonf,0.322,0.15860189226495913,max_pupil_dilation_rate
Block * Subject_Type,4,0,1,False,True,-0.4354325639215361,41.78671994234687,two-sided,0.6654894458109126,1.0,bonf,0.29,-0.11079993057987339,max_pupil_dilation_rate
Block * Subject_Type,5,0,1,False,True,0.03833872776948759,39.97862590623762,two-sided,0.9696084248844631,1.0,bonf,0.268,0.009928386736067985,max_pupil_dilation_rate
Block * Subject_Type,6,0,1,False,True,0.7218977850662637,33.55984133179083,two-sided,0.4753575182733806,1.0,bonf,0.332,0.20129775926362042,max_pupil_dilation_rate
Block * Subject_Type,7,0,1,False,True,0.5166609785028172,33.550601801434006,two-sided,0.6087819843447346,1.0,bonf,0.299,0.14408631951552864,max_pupil_dilation_rate
Block * Subject_Type,8,0,1,False,True,1.9788355449892874,63.8561911938714,two-sided,0.052150677646072764,0.4172054211685821,bonf,1.343,0.40037496865100497,max_pupil_dilation_rate
Block,-,1,2,True,True,1.4136425466063016,65.0,two-sided,0.16223841646836692,1.0,bonf,0.348,0.1925972222955787,mean_pupil_dilation_rate
Block,-,1,3,True,True,1.0596488548718688,65.0,two-sided,0.29322619457609517,1.0,bonf,0.231,0.13288558869314226,mean_pupil_dilation_rate
Block,-,1,4,True,True,1.9886973014257108,65.0,two-sided,0.05094763877942824,1.0,bonf,0.857,0.30772660634036086,mean_pupil_dilation_rate
Block,-,1,5,True,True,1.081543262505219,65.0,two-sided,0.2834518239248455,1.0,bonf,0.236,0.17849358432266646,mean_pupil_dilation_rate
Block,-,1,6,True,True,-0.48915438364060804,65.0,two-sided,0.6263789871621535,1.0,bonf,0.151,-0.08344972617512213,mean_pupil_dilation_rate
Block,-,1,7,True,True,-0.6415778054492325,65.0,two-sided,0.5234033993584132,1.0,bonf,0.164,-0.10153501436400392,mean_pupil_dilation_rate
Block,-,1,8,True,True,1.443070030938818,65.0,two-sided,0.15380283808539938,1.0,bonf,0.362,0.23163324438960825,mean_pupil_dilation_rate
Block,-,2,3,True,True,-0.443652731985115,65.0,two-sided,0.658767010259942,1.0,bonf,0.148,-0.05353638522749218,mean_pupil_dilation_rate
Block,-,2,4,True,True,0.8216745417262907,65.0,two-sided,0.4142659223552093,1.0,bonf,0.187,0.12324732020838951,mean_pupil_dilation_rate
Block,-,2,5,True,True,-0.0999352316454318,65.0,two-sided,0.9207033374378268,1.0,bonf,0.136,-0.015506264999865307,mean_pupil_dilation_rate
Block,-,2,6,True,True,-1.7566634814034228,65.0,two-sided,0.08368486592803909,1.0,bonf,0.576,-0.2678989094312383,mean_pupil_dilation_rate
Block,-,2,7,True,True,-2.3260409569420384,65.0,two-sided,0.02314623888265818,0.648094688714429,bonf,1.648,-0.30395938866388145,mean_pupil_dilation_rate
Block,-,2,8,True,True,0.24820218515826628,65.0,two-sided,0.8047604451578672,1.0,bonf,0.139,0.035023167433834664,mean_pupil_dilation_rate
Block,-,3,4,True,True,1.1930854252657919,65.0,two-sided,0.237172724911974,1.0,bonf,0.266,0.1702370540006811,mean_pupil_dilation_rate
